Date,study,Quran,exercise ,Religious knowledge ,Gaming ,majlis,,
Mar 4,holiday ,2 mints ,5 mints ,4 mints ,120 mints ,10 mints ,,
Mar 5,100 mints,0 mints ,5 mints ,3 mints ,30 mints ,20 mints ,,
Mar 6,0 mints,0 mints,0 mints,4 mints ,60 mints ,10 mints ,,
Mar 7,0 mints ,2 mints ,5 mints ,6 mints ,20 mints ,5 mints ,,
Mar 8,100 mints ,2 mints ,20 mints ,5 mints ,30 mints ,5 mints ,,
Mar 9,120 mints ,2 mints ,0 mints ,4 mints ,20 mints ,10 mints ,,
Mar 10,200 mints ,2 mints ,10 mints ,5 mints ,30 mints ,10 mints ,,
Mar 11,240 mints ,2 mints ,5 mints ,4 mints ,60 mints ,5 mints ,,
Mar 12,100 mints ,2 mints ,10 mints ,2 mints ,10 mints ,10 mints ,,
Mar 13,100 mints ,2 mints ,15 mints ,4 mints ,60 mints ,20 mints ,,
Mar 14,150 mints ,2 mints ,10 mints ,3 mints ,60 mints ,15 mints ,,
Mar 15,100 mints ,2 mints ,20 mints ,3 mints ,80 mints ,5 mints ,,
Mar 16,60 mints ,2 mints ,15 mints ,6 mints ,60 mints ,10 mints ,,
Mar 17,120 mints ,3 mints ,10 mints ,5 mints ,120 mints ,10 mints ,,
Mar 18,180 mints ,2 mints ,15 mints ,4 mints ,60 mints ,15 mints ,,
Mar 19,100 mints ,2 mints ,10 mints ,5 mints ,30 mints ,10 mints ,,
Mar 20,60 mints ,2 mints ,10 mints ,3 mints ,15 mints ,5 mints ,,
Mar 21,holiday ,2 mints ,0 mints ,5 mints ,0 mints ,5 mints ,,
Mar 22,30 mints ,2 mints ,10 mints ,5 mints ,20 mints ,0 mints ,,
Mar 23,holiday,2 mints ,15 mints ,4 mints ,0 mints ,10 mints ,,motivation 
Mar 24,150 mints ,2 mints ,10 mints ,2 mints ,20 mints ,15 mints ,,20 mints 
Mar 25,300 mints ,4 mints ,5 mints ,6 mints ,30 mints ,10 mints ,,25 mints 
Mar 26,100 mints ,2 mints ,20 mints ,5 mints ,150 mints ,10 mints ,,15 mints 
Mar 27,60 mints ,2 mints ,10 mints ,5 mints ,100 mints ,15 mints ,,25 mints 
Mar 28,holiday ,2 mints ,10 mints ,7 mints ,0 mints ,10 mints ,,5 mints 
Mar 29,200 mints ,3 mints ,15 mints ,5 mints ,60 mints ,10 mints ,,10 mints 
Mar 30,150 mints ,2 mints ,10 mints ,5 mints ,40 mints ,15 mints ,mohasiba,20 mints 
